Issue Type,Summary,Description,Priority,Labels,Story Points,Fix Version,Component
Bug,"[A11Y] This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","
h3. Problema
This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,"[A11Y] This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute ""submit"" or ""image"", or BUTTON elements with type ""submit"" or omitted/invalid.","
h3. Problema
This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute ""submit"" or ""image"", or BUTTON elements with type ""submit"" or omitted/invalid.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,"[A11Y] Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","
h3. Problema
Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,[A11Y] Iframe element requires a non-empty title attribute that identifies the frame.,"
h3. Problema
Iframe element requires a non-empty title attribute that identifies the frame.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,"[A11Y] This fieldset element does not have a name available to an accessibility API. Valid names are: legend element, aria-label undefined, aria-labelledby undefined.","
h3. Problema
This fieldset element does not have a name available to an accessibility API. Valid names are: legend element, aria-label undefined, aria-labelledby undefined.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,[A11Y] Fieldset does not contain a legend element. All fieldsets should contain a legend element that describes a description of the field group.,"
h3. Problema
Fieldset does not contain a legend element. All fieldsets should contain a legend element that describes a description of the field group.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,"[A11Y] This select element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.","
h3. Problema
This select element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,"[A11Y] This textarea element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.","
h3. Problema
This textarea element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,[A11Y] Ensure links are distinguished from surrounding text in a way that does not rely on color,"
h3. Problema
Ensure links are distinguished from surrounding text in a way that does not rely on color

h3. Criterio WCAG
1.4.1

h3. Approccio Remediation
https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=webdriverjs

h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,[A11Y] Background and foreground colors do not have a sufficient contrast ratio.,"
h3. Problema
Background and foreground colors do not have a sufficient contrast ratio.

h3. Criterio WCAG
1.4.3

h3. Approccio Remediation


h3. Esempio Codice
{code}

/* PRIMA (Contrasto insufficiente) */
.text {
    color: #999999;
    background: #ffffff;
}

/* DOPO (Contrasto corretto 4.5:1) */
.text {
    color: #595959;
    background: #ffffff;
}

{code}

h3. Testing
Verificare contrasto con Color Contrast Analyzer (minimo 4.5:1)
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,[A11Y] Ensure all page content is contained by landmarks,"
h3. Problema
Ensure all page content is contained by landmarks

h3. Criterio WCAG


h3. Approccio Remediation
https://dequeuniversity.com/rules/axe/4.10/region?application=webdriverjs

h3. Esempio Codice
{code}

{code}

h3. Testing

",Medium,"accessibility,wcag,medium",2,Accessibility Phase 3,Frontend
Bug,[A11Y] Buttons do not have an accessible name,"
h3. Problema
Buttons do not have an accessible name

h3. Criterio WCAG
4.1.2

h3. Approccio Remediation


h3. Esempio Codice
{code}

{code}

h3. Testing

",Medium,"accessibility,wcag,medium",2,Accessibility Phase 3,Frontend
Bug,[A11Y] Links do not have a discernible name,"
h3. Problema
Links do not have a discernible name

h3. Criterio WCAG
2.4.4

h3. Approccio Remediation


h3. Esempio Codice
{code}

{code}

h3. Testing

",Medium,"accessibility,wcag,medium",2,Accessibility Phase 3,Frontend
Bug,"[A11Y] `[user-scalable=""no""]` is used in the `<meta name=""viewport"">` element or the `[maximum-scale]` attribute is less than 5.","
h3. Problema
`[user-scalable=""no""]` is used in the `<meta name=""viewport"">` element or the `[maximum-scale]` attribute is less than 5.

h3. Criterio WCAG
1.4.4

h3. Approccio Remediation


h3. Esempio Codice
{code}

{code}

h3. Testing

",Medium,"accessibility,wcag,medium",2,Accessibility Phase 3,Frontend
Bug,[A11Y] Select elements do not have associated label elements.,"
h3. Problema
Select elements do not have associated label elements.

h3. Criterio WCAG
1.3.1

h3. Approccio Remediation


h3. Esempio Codice
{code}

{code}

h3. Testing

",Medium,"accessibility,wcag,medium",2,Accessibility Phase 3,Frontend
